Name,Winrate,KDA,Rank,Image,RImg
Galio,48.36,2.06,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Galio.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Tryndamere,48.3,1.67,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Tryndamere.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Cho'Gath,48.27,1.92,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Chogath.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Graves,48.26,1.82,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Graves.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Katarina,48.24,1.95,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Katarina.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Anivia,48.2,2.13,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Anivia.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Rakan,48.15,2.35,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Rakan.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Aurelion Sol,48.14,1.74,Iron,"https://opgg-static.akamaized.net/images/lol/champion/AurelionSol.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Janna,48.12,2.58,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Janna.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
Jinx,48.11,1.91,Iron,"https://opgg-static.akamaized.net/images/lol/champion/Jinx.png?image=w_auto&image=q_auto,f_webp,w_164&v=1649222375068",https://lolg-cdn.porofessor.gg/img/s/league-icons-v3/160/1.png?v=8
